Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
ARC,X11,PoW,26042364.3735553,60000000.0,-0.22313057625191868,-0.9411151844752064,-0.00979187596843309,2,ArcticCoin
DAS,X11,PoW,2622886.0,18900000.0,-0.22370861206438153,-0.9411028770326039,-0.009785531127938034,2,DAS
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000.0,0.12353917397762854,1.0130942063046633,-0.3660384058452744,0,Linda
XLC,CryptoNight,PoW,14161803.0,54000000.0,0.3094663364672015,-2.2719805744225416,0.25737026720008555,2,LeviarCoin
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.27637987172297007,1.7796133761178599,-0.42764100496111923,0,DeepOnion
BTX,Time Travel,PoW,17801865.1605478,21000000.0,-0.15702920133241421,-2.2351374527211325,0.3046634128390275,2,Bitcore
GCN,Scrypt,PoW,163055097500.0,200000000000.0,3.238949911788032,-1.1586721991169562,-0.005129732671032913,2,gCn Coin
SMART,Keccak,PoW,2241009149.22257,5000000000.0,-0.11743416660878513,-1.3228578071875352,0.13576101345968858,2,SmartCash
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0,-0.3178836262924978,1.53513349358438,-0.09465683015582904,0,Signatum
ONX,X11,PoW,122475638.389743,1100000000.0,-0.2145716545532034,-0.9415936111897906,-0.009873938521749922,2,Onix
CRM,Skein,PoW/PoS,47331802.4774238,100000000.0,-0.3991081851624538,1.9419092766277537,-0.5232266034108196,0,Cream
BCH,SHA-256,PoW,17995589.6469082,21000000.0,-0.13863425589799053,-1.3316550658626505,0.15812113276442835,2,Bitcoin Cash
XMCC,X11,PoW/PoS,12569262.5359307,9507271.0,-0.391293373853908,1.2088214421943555,-0.40469321744470366,0,Monoeci
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.29490161109799523,0.8380538684824819,-0.19275734766402253,0,Draftcoin
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0,4.333620322550095,3.049430324184021,-0.556261766055234,0,Vechain
SOJ,Scrypt,PoW,485214.0,10500000000.0,-0.09971034795074857,-1.120462494799185,0.03283644039864001,2,Sojourn Coin
